"id","type","label","subClassOf","domain","range","@type","@container","required","term","@reverse","comment"
"oa","prefix",,"https://www.openactive.org/ns#",,,,,,,,
"dc","prefix",,"http://purl.org/dc/terms/",,,,,,,,
"owl","prefix",,"http://www.w3.org/2002/07/owl#",,,,,,,,
"rdf","prefix",,"http://www.w3.org/1999/02/22-rdf-syntax-ns#",,,,,,,,
"rdfa","prefix",,"http://www.w3.org/ns/rdfa#",,,,,,,,
"rdfs","prefix",,"http://www.w3.org/2000/01/rdf-schema#",,,,,,,,
"schema","prefix",,"http://schema.org/",,,,,,,,
"skos","prefix",,"http://www.w3.org/2004/02/skos/core#",,,,,,,,
"xsd","prefix",,"http://www.w3.org/2001/XMLSchema#",,,,,,,,
"pending","prefix",,"http://pending.schema.org/",,,,,,,,
"ActivityOpportunity","rdfs:Class","ActivityOpportunity","http://schema.org/Thing",,,,,,,,"An opportunity to carry out an activity at a location, at a time of the participants choosing."
"activity","rdf:Property","activity",,"http://schema.org/Thing",,,,,,,"Specifies the physical activity or activities that will take place during an event"
"category","rdf:Property","category",,"http://schema.org/Event",,,,,,,"Associate one or more tags to an Event to further categorise and describe it event, e.g. its intensity, purpose, setting, membership requirements, etc."
"ageRange","rdf:Property","ageRange",,"http://schema.org/Thing","http://schema.org/QuantitativeValue",,,,,,"Indicates that an event is suitable for a specified age range, or that an Offer applies only to people of a specific age"
"genderRestriction","rdf:Property","genderRestriction",,"http://schema.org/Event","oa:GenderRestrictionType",,,,,,"Indicates that an event is restricted to male, female or a mixed audience. Values should be one of the gender types specified in this vocabulary. If a gender restriction isn't specified then applications should assume that an event is suitable for a mixed audience"
"programme","rdf:Property","programme",,"http://schema.org/Event",,,,,,,"Indicates that an event will be organised according to a specific Programme"
"title","term",,"dc:title",,,,,,,,
"license","term",,"dc:license",,,,,,,,
"prefLabel","term",,"skos:prefLabel",,,,,,,,
"altLabel","term",,"skos:altLabel",,,,,,,,
"inScheme","term",,"skos:inScheme",,,,,,,,
"broader","term",,"skos:broader",,,,,,,,
"narrower","term",,"skos:narrower",,,,,,,,
"notation","term",,"skos:notation",,,,,,,,
"topConceptOf","term",,"skos:topConceptOf",,,,,,,,
"type","term",,"@type",,,,,,,,
"attendeeInstructions","rdf:Property",,,"http://schema.org/Event",,,,,,,"Provides additional notes and instructions for event attendees. This information is targetted at attendees rather than potential participants. The instructions might include information on what to bring, what to wear, how to find the event, etc."
"leader","rdf:Property",,,"http://schema.org/Event","http://schema.org/Person",,,,,,"The person who will be leading an event. E.g. a coach. This is a more specific role than an organiser or a contributor"
"accessibilityInformation","rdf:Property",,,"http://schema.org/Event",,,,,,,"Intended to capture further notes for attendees about support for disabilities or other conditions at the event"
"accessibilitySupport","rdf:Property",,,"http://schema.org/Event",,,,,,,"What types of disabilities or conditions are accommodated at the event"
"isCoached","rdf:Property",,,"http://schema.org/Event",,,,,,,"A boolean property that indicates whether an Event will be coached. This flag allows an Event to be marked as being coached without having to specify a named individual as a coach. This addresses both privacy concerns and also scenarios where the actual coach may only be decided on the day. "
"level","rdf:Property",,"http://openactive.org/ns#category","http://schema.org/Event",,,,,,,"A general purpose property for specifying the suitability of an event for different participant levels. E.g. beginner/intermediate/advanced. Or in the case of martial arts, specific belt requirements. Values should ideally draw from a controlled vocabulary "
"meetingPoint","rdf:Property",,"http://openactive.org/ns#attendeeInstructions","http://schema.org/Event",,,,,,,"Instructions for the attendees of an Event about where they should meet the organizer or leader at the start of the event. Some larger locations may have several possible meeting points, so this property provides additional more specific directions."
"Schedule","term",,"pending:Schedule",,,,,,,,
"repeatFrequency","term",,"pending:repeatFrequency",,,,,,,,
"repeatCount","term",,"pending:repeatCount",,,,,,,,
"byDay","term",,"pending:byDay",,,,,,,,
"byMonth","term",,"pending:byMonth",,,,,,,,
"byMonthDay","term",,"pending:byMonthDay",,,,,,,,
"exceptDate","term",,"pending:exceptDate",,,,,,,,
"eventSchedule","term",,"pending:eventSchedule",,,,,,,,
"GenderRestrictionType","rdfs:Class","GenderRestrictionType",,,,,,,,,"Enumerated types for gender restrictions that are applied to Events"
"Male","rdfs:Class","Male","oa:GenderRestrictionType",,,,,,,,"Enumerated value for specifying gender restrictions"
"Female","rdfs:Class","Female","oa:GenderRestrictionType",,,,,,,,"Enumerated value for specifying gender restrictions"
"None","rdfs:Class","None","oa:GenderRestrictionType",,,,,,,,"Enumerated value for specifying gender restrictions"
"FacilityUse","rdfs:Class","FacilityUse","schema:Product",,,,,,,,"An opportunity to use a facility"
"ChangingRooms","rdfs:Class","ChangingRooms","schema:LocationFeatureSpecification",,,,,,,,"Changing Rooms. "
"Showers","rdfs:Class","Showers","schema:LocationFeatureSpecification",,,,,,,,"Showers"
"PublicToilets","rdfs:Class","PublicToilets","schema:LocationFeatureSpecification",,,,,,,,"Public Toilets"
"Lockers","rdfs:Class","Lockers","schema:LocationFeatureSpecification",,,,,,,,"Lockers"
"Towels","rdfs:Class","Towels","schema:LocationFeatureSpecification",,,,,,,,"Towels"
"Creche","rdfs:Class","Creche","schema:LocationFeatureSpecification",,,,,,,,"Creche"
"Parking","rdfs:Class","Parking","schema:LocationFeatureSpecification",,,,,,,,"Parking"
"BabyChanging","rdfs:Class","BabyChanging","schema:LocationFeatureSpecification",,,,,,,,"BabyChanging"
"Slot","rdfs:Class","Slot","schema:Event",,,,,,,,"A Slot is an opportunity to use a facility at a specific time and for a specified duration. A Slot is therefore a specific type of Event, although it has a more constrained set of properties."
"IndividualFacilityUse","rdfs:Class","FacilityUse","oa:FacilityUse",,,,,,,,"An opportunity to use a specific facility"
"facilityUse","rdf:Property","facilityUse",,"oa:Slot","oa:FacilityUse",,,,,,"Associates a Slot with a FacilityUse"
"remainingUses","rdf:Property",,,"oa:Slot",,,,,,,"Remaining opportunities to use a Slot"
"maximumUses","rdf:Property",,,"oa:Slot",,,,,,,"Maximum opportunities to use a Slot"
"individualFacilityUse","rdf:Property",,,"oa:FacilityUse",,,,,,,"Provides a list of more specific opportunities to use facilities at a location, e.g. opportunities for individual courts or pitches"
